sum: 617090
lower is 1
care neither 1
conduct such 1
dispersed way 1
three great 1
concession in 1
simple feelings 1
anger should 1
lose But 1
so deranged 1
or promotes 1
train theatre 1
man introduced 1
If people 1
attentively as 1
interests me 1
excessively concerned 1
monstrous lucky 1
indignation If 1
go about 1
night all 1
wretched The 1
probable reasonable 1
Harriet's tears 1
single he 1
Catherine recollected 1
was sickness 1
friend quite 1
Longbourn soon 1
whole parish 1
formal a 1
shoot And 1
unluckily Fanny 1
hang back 1
independence was 1
again dwelt 1
imagining me 1
of law 1
though trusting 1
discourse except 1
artful I 1
less they 1
of backgammon 1
choice It 1
three pages 1
an accident 1
women when 1
ever At 1
was noisy 1
which suited 1
merely conditional 1
despaired at 1
seriously ill 1
dreaded as 1
will succeed 1
Price's and 1
so misled 1
desperate should 1
imagined but 1
fatigue Aye 1
anticipating something 1
strong feel 1
He admires 1
conversation talked 1
serious conference 1
complexion varied 1
it compassion 1
the warehouse 1
of ridiculing 1
However my 1
always resided 1
silent If 1
were somewhat 1
All within 1
fortunately in 1
by stupid 1
the animating 1
upstairs to 1
myself ever 1
sheltered and 1
to bake 1
complexion unless 1
sides Sir 1
wondering he 1
and housekeeper 1
palpable display 1
human probability 1
was eloquent 1
inclination apart 1
innocence could 1
cause want 1
sure What 1
accomplished Nor 1
degree affect 1
made however 1
Steeles kept 1
having soon 1
Lacey will 1
secrecy than 1
Having so 1
Aladdin's lamp 1
did revive 1
he disliked 1
tears And 1
of was 1
of war 1
furnished house 1
needlessly often 1
chose Chapter 1
superiority undescribable 1
smallest fear 1
To receive 1
inhabit or 1
fine women 1
same continued 1
Maria's account 1
excessive intimacy 1
destiny of 1
jealous weakness 1
or discontinuing 1
Sure if 1
conversation rational 1
settle near 1
recovery She 1
speed in 1
still produced 1
general sweetness 1
fairly warrant 1
Pleased to 1
ever endeavoured 1
Elizabeth drily 1
undoubtedly many 1
Brandon He 1
principally occupied 1
turning expected 1
improvement abroad 1
The sooner 1
only across 1
share it 1
joined insincerity 1
large amongst 1
of witness 1
evils were 1
of engagements 1
Which of 1
loss such 1
recent losses 1
between water 1
to dupe 1
became speedily 1
between Robert 1
always got 1
But strange 1
control Her 1
about copying 1
It sees 1
knew quite 1
seeing others 1
officers will 1
known fact 1
assisting her 1
She stared 1
all taking 1
provoking indifference 1
Parsonage She 1
minute feeling 1
speak carelessly 1
prospects The 1
shall mind 1
the rent 1
every account 1
practised here 1
Mrs Suckling's 1
fret no 1
ones it 1
he make 1
danced from 1
white wood 1
us rejoice 1
Charlotte's being 1
unlimited order 1
library Mrs 1
she mean 1
mortify the 1
or tomorrow 1
Harriet safe 1
detestation though 1
compose a 1
when am 1
when an 1
readily talked 1
I No 1
rather consciously 1
astonished An 1
it dreaded 1
reached town 1
entirely Would 1
moment just 1
expected To 1
lively hopes 1
greater impropriety 1
warmly solicited 1
immediately apply 1
mechanically for 1
eternal Their 1
has allowed 1
the Great 1
queernesses set 1
Morland's having 1
looking expressively 1
manners indicated 1
parley about 1
father instantly 1
river making 1
nothing Elizabeth 1
honour him 1
horridly As 1
all tenfold 1
honour his 1
points Such 1
people While 1
impudent girl 1
written purposely 1
Ferrars's heart 1
lady almost 1
well frighten 1
talking such 1
actual happiness 1
surmises There 1
concealment Such 1
feebleness in 1
her Harriet 1
WILL recollect 1
suppose there's 1
could regret 1
and meditated 1
spirit No 1
months we 1
familiar that 1
considerations of 1
woman's destiny 1
delightfully she 1
pug said 1
the cleverest 1
the sobering 1
certainly leave 1
then sinking 1
had sprained 1
just one 1
not begun 1
the steepest 1
afforded she 1
with speculation 1
bench between 1
A younger 1
gives most 1
performed Something 1
less struck 1
cheerless her 1
their doubt 1
adapted by 1
opinion one 1
deceit persuade 1
hope might 1
sudden extinction 1
equivocal His 1
fancy admiration 1
lately expressing 1
With one 1
general notice 1
odd trick 1
succeeded Each 1
more here 1
treachery or 1
smallest desire 1
arrogant conceited 1
gentlemanlike sensible 1
Many vain 1
His coldness 1
overthrown there 1
wrong end 1
pause that 1
them satirical 1
arm round 1
effect Mr 1
rather looked 1
reason should 1
each I 1
than atoned 1
full command 1
uncommon from 1
We dressed 1
The expectation 1
must he 1
impossible however 1
below she 1
themselves What 1
that displeasure 1
amusements Mrs 1
speaking entirely 1
soon Mr 1
be Kitty 1
conversation than 1
believe might 1
different disposition 1
greatest misery 1
treated on 1
remarkably loud 1
match inconsiderately 1
Jane earnestly 1
she dejected 1
energy So 1
Elizabeth persuade 1
engravings drawers 1
conversation as 1
the symptoms 1
bad passage 1
determining on 1
Julia fancies 1
him greatly 1
help no 1
alliance as 1
Monday next 1
fashionable hours 1
therefore consider 1
the stand 1
the medical 1
all has 1
so softened 1
justly her 1
almost uniformly 1
which opened 1
Maria joined 1
revival tried 1
really experiences 1
quality I 1
more consolatory 1
either natural 1
strange revolution 1
importance our 1
proceeded towards 1
dead may 1
without cause 1
table did 1
idolized and 1
friend They 1
getting everything 1
alone together 1
so Sir 1
while spoiling 1
should break 1
and enclosing 1
concern my 1
The soup 1
north and 1
concern me 1
John's there 1
followed Isabella's 1
without taste 1
fine indeed 1
negatives is 1
Eighth acted 1
seated side 1
resentment said 1
YOUR sense 1
one witness 1
difficulties And 1
daughter though 1
idea A 1
Ah Catherine 1
reluctance in 1
subject cousin 1
presented her 1
from Patty 1
submitted without 1
blame said 1
The quiet 1
Whichever Mr 1
He steadily 1
picturesque and 1
pleased Lady 1
reading How 1
her worries 1
scholar and 1
a lease 1
any lips 1
particularly acquainted 1
his dwelling 1
now decide 1
replied what 1
have separated 1
ride the 1
Exactly the 1
ROBERT'S marrying 1
fruit trees 1
January February 1
decision becoming 1
Admiral hated 1
the sandwich 1
act soon 1
other Fanny 1
envy of 1
good ranting 1
period every 1
very cutting 1
time little 1
grew gradually 1
owe such 1
being accompanied 1
the workmen 1
Thorpe a 1
being merely 1
farther down 1
twice suggested 1
point had 1
neighbourhood this 1
evening during 1
such interposition 1
black gentleman 1
language enough 1
time together 1
apt you 1
fretfully If 1
great coxcombs 1
error with 1
claimed me 1
The nothing 1
dead it 1
excessive curiosity 1
privately engaged 1
reasons Oh 1
here Certainly 1
strengthener of 1
little put 1
about wondering 1
general's disapprobation 1
that reports 1
spoke take 1
certainly miss 1
her's But 1
steadfastly was 1
how improbable 1
grew their 1
bit better 1
body speaks 1
two together 1
arranged With 1
overlooked the 1
happy You 1
Lord's daughter 1
height At 1
horses see 1
people seldom 1
forward enough 1
weary I 1
Your examination 1
usual sedateness 1
deterred her 1
airs of 1
Middleton saw 1
Middleton sat 1
eyes after 1
conclusion She 1
eyes his 1
controlled and 1
Me Yes 1
attraction Robert 1
and Horrid 1
half settled 1
circumstances or 1
compress all 1
sting The 1
is light 1
behaviour attentively 1
or marry 1
slovenly and 1
Their resemblance 1
hospitable and 1
only pronounce 1
several months 1
for feeling 1
bed My 1
and tomorrow 1
freshest green 1
Willoughby's portrait 1
his state 1
must answer 1
Mansfield ready 1
more minutely 1
Dashwood saw 1
modest gentle 1
wars or 1
daughter well 1
it twelve 1
eagerly calling 1
object with 1
forced his 1
after myself 1
persevering however 1
away after 1
blush After 1
some timbers 1
would almost 1
rained every 1
Tilney instead 1
much truth 1
characters are 1
every resolution 1
could weary 1
bred were 1
general elegance 1
amor patriae 1
fortune Yes 1
firmer and 1
infirm I 1
cannot settle 1
Rebecca everything 1
how suspicious 1
circle his 1
being many 1
on dear 1
imaginary improvement 1
William soon 1
has feeling 1
prompter sometimes 1
safely held 1
brothers between 1
Her silence 1
he merited 1
sympathy how 1
journey this 1
perhaps were 1
illnesses for 1
of timber 1
and haberdasher's 1
extra visits 1
allowable the 1
slightest suspicion 1
please he 1
riotous games 1
the Midland 1
DID the 1
and doubted 1
the plaintive 1
one gratification 1
merely imaginary 1
repulsive that 1
entrance was 1
Palmer joined 1
hurt and 1
Methodical or 1
John's description 1
very gratifying 1
other Do 1
highest bench 1
like flirtation 1
merely glossed 1
longer importune 1
picture made 1
in discontent 1
expressed To 1
natural ardour 1
different story 1
As children 1
all two 1
a shake 1
many cases 1
Robert first 1
imagination as 1
perfectly intelligible 1
owning Henry's 1
Then having 1
repeatedly with 1
estimable and 1
stationed himself 1
dear her 1
wrote Oh 1
ladies almost 1
eye for 1
again stealing 1
wife together 1
decidedly more 1
is netting 1
natural sterling 1
anything since 1
his drawing 1
parlour apparently 1
be referred 1
understanding Sir 1
rather oftener 1
amounting almost 1
it Upon 1
aids of 1
or believed 1
be learnt 1
read remain 1
closed also 1
steadiness in 1
home grew 1
thoroughly possessed 1
Weston a 1
more papa 1
surprized indeed 1
whole blame 1
nine said 1
or angry 1
exclaim Why 1
how mournfully 1
blank to 1
stifling sickly 1
am miserable 1
valley here 1
I copied 1
you possible 1
of eloping 1
small door 1
Well Mr 1
been ensured 1
pleasant young 1
became collected 1
means most 1
sentences as 1
therefore replied 1
instantly understood 1
Allen used 1
must an 1
before A 1
and beamed 1
examine this 1
proclaimed by 1
probability teach 1
soon cease 1
projecting and 1
ruin me 1
she dearly 1
but inarticulate 1
too conscientious 1
than almost 1
Bristol for 1
prejudiced But 1
Knightley Two 1
unjust praise 1
presume is 1
parlour that 1
sufferings under 1
suppress her 1
presume it 1
once whispered 1
reconciled but 1
presume in 1
ONE house 1
companions makes 1
rapid it 1
Luckily Lady 1
raining another 1
forestalling this 1
housemaids for 1
a resentful 1
the complainer 1
rapid in 1
by William's 1
hers How 1
welcome for 1
companion When 1
interesting point 1
month's end 1
slowly not 1
what avail 1
think sister 1
Half the 1
learnt comprehended 1
describe how 1
breach had 1
miserable wretch 1
much guided 1
stage I 1
say Rushworth 1
doing without 1
Italy Consider 1
replied With 1
well tried 1
their wealth 1
though Wickham 1
wearied by 1
or most 1
be apologising 1
concern whether 1
pursuit any 1
worse it 1
be mischief 1
such foul 1
in tricking 1
their pursuit 1
wondered she 1
to drawing 1
before directly 1
motive though 1
No coffee 1
hoped Mr 1
Catherine detaching 1
over Edmund's 1
don't upon 1
what transporting 1
Ladyship will 1
Not less 1
when Dorothy 1
acquaintance Poor 1
On discovering 1
reaching to 1
sister's affliction 1
NOTE ON 1
even too 1
crying to 1
be Your 1
heavens Well 1
of addresses 1
great recommendations 1
guard Can 1
cheerfuller turn 1
Admiral said 1
private There 1
did while 1
horse moved 1
afterwards Miss 1
Hartfield but 1
Allen A 1
studies so 1
fury a 1
23 An 1
door at 1
as Surry 1
parentage became 1
against Emma 1
seen Oh 1
correspondents and 1
expressions I 1
very complaisant 1
him Much 1
cried beyond 1
show with 1
could mistake 1
procuring Isabella's 1
calm In 1
feel Emma 1
as dress 1
Dashwood's visit 1
inquire that 1
I scarcely 1
chosen that 1
large congregation 1
cannot judge 1
requested that 1
taken was 1
kind Every 1
are which 1
houses after 1
moment At 1
the balmy 1
acquiescence When 1
moment As 1
meeting And 1
learned some 1
tempers had 1
as rendered 1
love Miss 1
all silent 1
Darcy speaking 1
and uninformed 1
ill The 1
thinking bearing 1
whether Willoughby 1
is usual 1
immediately checked 1
likely Captain 1
equity the 1
conference soon 1
he informed 1
unfortunate and 1
was obtained 1
more incompatible 1
absent the 1
disguise that 1
somehow there 1
unfortunately circumstanced 1
lips was 1
where stood 1
selfish disdain 1
remonstrance How 1
sing One 1
any county 1
day about 1
obedient at 1
spite at 1
Goddard's all 1
much domestic 1
fancy they 1
two evenings 1
attempt known 1
been entered 1
the foolishness 1
and candour 1
the postscript 1
perpetrated without 1
way yourself 1
a Bath 1
offending a 1
equal goodwill 1
because this 1
or manners 1
Is Mrs 1
of known 1
How They 1
foot had 1
more threatening 1
tuition at 1
refinement people 1
what bordered 1
unreserved woman 1
sisters intended 1
gravity after 1
what's his 1
certainly other 1
way sir 1
difference her 1
nor better 1
little young 1
numbers was 1
eagerly given 1
quite disconcerted 1
hopeless more 1
towards Bingley 1
forgiveness from 1
north I 1
books exceedingly 1
been remarkably 1
no enquiries 1
their endeavours 1
Hot He 1
extraordinary that 1
staircase he 1
earnest Good 1
your Hunsford 1
then expressing 1
Smith you 1
is overset 1
even pleasure 1
derive from 1
looked longing 1
venturing on 1
I inquired 1
familiarly by 1
handsomest manner 1
fun Not 1
immediately walking 1
the gentlemen's 1
cannot catch 1
on arriving 1
But hardly 1
gaming at 1
Edmund's mare 1
feeding to 1
wronging him 1
her attempts 1
advances in 1
affectionately must 1
evident a 1
settled otherwise 1
duty My 1
would inevitably 1
deceived but 1
understanding has 1
blameless Where 1
toned subjects 1
alarmed if 1
Long will 1
wealthy and 1
greatly resembled 1
place sir 1
earlier later 1
the visions 1
generally be 1
worked themselves 1
capes of 1
Emma At 1
in melancholy 1
Emma As 1
sir in 1
This said 1
papa if 1
now imagine 1
proper one 1
you particularly 1
larger quantity 1
papa is 1
moment sufficed 1
grateful heart 1
Very nonsensical 1
however continued 1
gentleman whose 1
domestics and 1
youthful simplicity 1
Nature resisted 1
quite universal 1
past imprudence 1
usual effect 1
Portsmouth till 1
Oxford was 1
alphabet are 1
guiding Fanny's 1
seem quite 1
title and 1
shameful insolent 1
your argument 1
deserving Emma 1
of violently 1
already learnt 1
closed It 1
most incautiously 1
less sheltered 1
this happier 1
rapture with 1
scene with 1
them seats 1
their residing 1
them triumph 1
Marianne till 1
blushing at 1
a six 1
dish of 1
like disputes 1
in alternation 1
too differently 1
that terrible 1
deference acknowledged 1
to Clapham 1
pleasant The 1
abate farther 1
old grievances 1
case how 1
Longstaple At 1
quiet prescribed 1
for inadvertence 1
Edward's future 1
however Gladly 1
especially William 1
such wish 1
cousins he 1
either you 1
face glowing 1
defective only 1
silent Scarcely 1
lucky that 1
bring friends 1
imagine both 1
Catherine's employment 1
angry as 1
excellent charade 1
and plain 1
Fanny's friendship 1
merit cries 1
both well 1
terrace walk 1
his pointed 1
share Mrs 1
more justified 1
conceit in 1
appalled by 1
prosperity carries 1
stay above 1
what Captain 1
both dreadfully 1
can Domestic 1
with virtue 1
November when 1
Her said 1
correspondent but 1
yet observing 1
black horse 1
circumstances able 1
announce his 1
will gain 1
brother soon 1
old prejudice 1
qualities though 1
mother's alarm 1
the wearied 1
their malignant 1
carrying your 1
caring no 1
pointers playing 1
animal continued 1
